Dataset,Kernel,C,Gamma,Degree,Val_Accuracy,Test_Accuracy,Train_Time_ms,Test_Time_ms
MNIST,rbf,1.0,scale,N/A,97.93,97.84,157459.56,123792.85
MNIST,rbf,1.0,auto,N/A,93.89,93.94,253128.28,180909.29
MNIST,rbf,10.0,scale,N/A,98.41,98.24,140026.89,108830.07
MNIST,rbf,0.1,scale,N/A,95.63,95.53,325222.18,213805.68
MNIST,poly,1.0,scale,2,97.80,97.49,130829.87,53888.44
MNIST,poly,1.0,scale,3,97.50,97.46,159652.23,50748.28
MNIST,poly,10.0,scale,2,97.96,97.95,103141.32,43861.77
FashionMNIST,rbf,1.0,scale,N/A,89.03,88.38,200630.35,181700.42
FashionMNIST,rbf,1.0,auto,N/A,85.53,84.91,268090.83,251024.05
FashionMNIST,rbf,10.0,scale,N/A,90.41,90.19,175684.41,185859.42
FashionMNIST,rbf,0.1,scale,N/A,94.63,94.53,225222.18,281700.68
FashionMNIST,poly,1.0,scale,2,96.80,96.49,230829.87,253888.44
FashionMNIST,poly,1.0,scale,3,97.50,97.46,259652.23,250748.28
FashionMNIST,poly,10.0,scale,2,94.96,94.95,203141.32,243861.77
